,X,grid_id,species,distance_bin,n,ID,lat,lon,ele,grid_name,date,start_time,TOD,observers,hab_main
30,30,G119.5,Laughing dove,25.50m,1,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
31,31,G119.5,Siberian stonechat,10.25m,1,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
32,32,G119.5,Siberian stonechat,25.50m,1,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
33,33,G119.5,Long tailed shrike,10.25m,1,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
34,34,G119.5,Barn swallow,10.25m,10,5,18.18811499,74.77600099,546.387024,G119,25-12-22,8:17,morning,"RD, MS",cropland
35,35,G119.6,Indian robin,50.100m,2,6,18.189297,74.772437,547.268127,G119,25-12-22,8:43,morning,"RD, MS",mixed
36,36,G119.6,Yellow eyed babbler,50.100m,1,6,18.189297,74.772437,547.268127,G119,25-12-22,8:43,morning,"RD, MS",mixed
37,37,G119.6,Barn swallow,10.25m,7,6,18.189297,74.772437,547.268127,G119,25-12-22,8:43,morning,"RD, MS",mixed
38,38,G119.6,Red vented bulbul,5.10m,3,6,18.189297,74.772437,547.268127,G119,25-12-22,8:43,morning,"RD, MS",mixed
39,39,G119.7,Barn swallow,10.25m,10,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
40,40,G119.7,Yellow eyed babbler,100.200m,1,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
41,41,G119.7,Pied bushchat,5.10m,1,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
42,42,G119.7,Zitting cisticola,5.10m,1,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
43,43,G119.7,Purple sunbird,0.5m,1,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
44,44,G119.7,Oriental magpie robin,5.10m,1,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
45,45,G119.7,Indian silverbill,100.200m,1,7,18.18915904,74.76932497,547.713806,G119,25-12-22,9:09,morning,"RD, MS",cropland
46,46,G71.1,Long tailed shrike,50.100m,2,8,18.38349002,74.47058396,608.499756,G71,26-12-22,7:41,morning,"RD, MS",cropland
47,47,G71.1,Great grey shrike,25.50m,1,8,18.38349002,74.47058396,608.499756,G71,26-12-22,7:41,morning,"RD, MS",cropland
48,48,G71.1,Oriental Skylark,10.25m,1,8,18.38349002,74.47058396,608.499756,G71,26-12-22,7:41,morning,"RD, MS",cropland
49,49,G71.1,Whitethroat,5.10m,1,8,18.38349002,74.47058396,608.499756,G71,26-12-22,7:41,morning,"RD, MS",cropland
50,50,G71.2,Siberian stonechat,25.50m,1,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
51,51,G71.2,Syke's lark,25.50m,2,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
52,52,G71.2,Ashy crowned sparrow lark,25.50m,1,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
53,53,G71.2,Bay backed shrike ,50.100m,1,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
54,54,G71.2,Oriental Skylark,50.100m,1,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
55,55,G71.2,Jungle babbler,25.50m,7,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
56,56,G71.2,Red vented bulbul,10.25m,1,9,18.38122096,74.46898403,650.216858,G71,26-12-22,8:03,morning,"RD, MS",cropland
57,57,G71.3,Black drongo,25.50m,1,10,18.38005302,74.46639301,650.195923,G71,26-12-22,8:25,morning,"RD, MS",grass
58,58,G71.3,Ashy crowned sparrow lark,10.25m,2,10,18.38005302,74.46639301,650.195923,G71,26-12-22,8:25,morning,"RD, MS",grass
59,59,G71.3,Ashy crowned sparrow lark,25.50m,2,10,18.38005302,74.46639301,650.195923,G71,26-12-22,8:25,morning,"RD, MS",grass
60,60,G71.3,Paddyfield pipit,25.50m,1,10,18.38005302,74.46639301,650.195923,G71,26-12-22,8:25,morning,"RD, MS",grass
61,61,G71.4,Red wattled lapwing,25.50m,5,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
62,62,G71.4,Red vented bulbul,10.25m,1,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
63,63,G71.4,Siberian stonechat,25.50m,2,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
64,64,G71.4,Siberian stonechat,50.100m,1,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
65,65,G71.4,Rufous tailed lark,10.25m,1,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
66,66,G71.4,Rufous tailed lark,25.50m,1,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
67,67,G71.4,Great grey shrike,10.25m,1,11,18.37832501,74.46354803,651.750549,G71,26-12-22,8:48,morning,"RD, MS",grass
68,68,G71.5,Ashy crowned sparrow lark,10.25m,15,12,18.37625996,74.46161902,651.068359,G71,26-12-22,9:27,morning,"RD, MS",grass
69,69,G71.5,Common sandpiper,50.100m,1,12,18.37625996,74.46161902,651.068359,G71,26-12-22,9:27,morning,"RD, MS",grass
70,70,G71.5,Black drongo,50.100m,1,12,18.37625996,74.46161902,651.068359,G71,26-12-22,9:27,morning,"RD, MS",grass
71,71,G71.5,Jungle babbler,50.100m,7,12,18.37625996,74.46161902,651.068359,G71,26-12-22,9:27,morning,"RD, MS",grass
72,72,G71.5,Indian bushlark,25.50m,1,12,18.37625996,74.46161902,651.068359,G71,26-12-22,9:27,morning,"RD, MS",grass
73,73,G71.5,Eurasian collared dove,50.100m,3,12,18.37625996,74.46161902,651.068359,G71,26-12-22,9:27,morning,"RD, MS",grass
74,74,G71.6,Tawny pipit,5.10m,1,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
75,75,G71.6,Tawny pipit,25.50m,1,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
76,76,G71.6,Siberian stonechat,25.50m,1,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
77,77,G71.6,Barn swallow,25.50m,2,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
78,78,G71.6,Red wattled lapwing,25.50m,1,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
79,79,G71.6,Bluethroat,5.10m,1,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
80,80,G71.6,Short toed snake eagle,5.10m,1,13,18.37833398,74.45883597,660.684875,G71,26-12-22,10:04,morning,"RD, MS",grass
81,81,G96.1,Barn swallow,100.200m,1,14,18.23965103,74.628669,580.99115,G96,24-12-22,16:11,evening,"RD, MS",grass
82,82,G96.2,Barn swallow,10.25m,1,15,18.24070497,74.62602099,583.626709,G96,24-12-22,16:21,evening,"RD, MS",grass
83,83,G96.2,Green bee eater,50.100m,3,15,18.24070497,74.62602099,583.626709,G96,24-12-22,16:21,evening,"RD, MS",grass
84,84,G96.2,Black winged kite,100.200m,1,15,18.24070497,74.62602099,583.626709,G96,24-12-22,16:21,evening,"RD, MS",grass
85,85,G96.3,Green bee eater,25.50m,2,16,18.23703303,74.62951499,585.269775,G96,24-12-22,16:59,evening,"RD, MS",grass
86,86,G96.3,Green bee eater,50.100m,3,16,18.23703303,74.62951499,585.269775,G96,24-12-22,16:59,evening,"RD, MS",grass
87,87,G96.3,Plain prinia,25.50m,1,16,18.23703303,74.62951499,585.269775,G96,24-12-22,16:59,evening,"RD, MS",grass
88,88,G96.3,Pied bushchat,25.50m,1,16,18.23703303,74.62951499,585.269775,G96,24-12-22,16:59,evening,"RD, MS",grass
89,89,G96.3,Indian silverbill,25.50m,7,16,18.23703303,74.62951499,585.269775,G96,24-12-22,16:59,evening,"RD, MS",grass
90,90,G96.4,Oriental magpie robin,50.100m,1,17,18.234309,74.62964298,594.458313,G96,24-12-22,17:15,evening,"RD, MS",grass
91,91,G96.4,Laughing dove,50.100m,1,17,18.234309,74.62964298,594.458313,G96,24-12-22,17:15,evening,"RD, MS",grass
92,92,G96.4,Green bee eater,10.25m,1,17,18.234309,74.62964298,594.458313,G96,24-12-22,17:15,evening,"RD, MS",grass
93,93,G96.4,Green bee eater,25.50m,1,17,18.234309,74.62964298,594.458313,G96,24-12-22,17:15,evening,"RD, MS",grass
94,94,G96.4,Barn swallow,25.50m,8,17,18.234309,74.62964298,594.458313,G96,24-12-22,17:15,evening,"RD, MS",grass
95,95,G96.5,Laughing dove,50.100m,2,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
96,96,G96.5,Barn swallow,25.50m,1,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
97,97,G96.5,Brahminy starling,25.50m,2,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
98,98,G96.5,Red wattled lapwing,50.100m,1,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
99,99,G96.5,Spotted dove,50.100m,1,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
100,100,G96.5,Steppe eagle,100.200m,1,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
101,101,G96.5,Common kestrel,25.50m,1,18,18.23403298,74.62660898,589.665344,G96,24-12-22,17:49,evening,"RD, MS",grass
102,102,G145.1,Ashy crowned sparrow lark,25.50m,1,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
103,103,G145.1,Black drongo,50.100m,1,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
104,104,G145.1,Black drongo,100.200m,1,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
105,105,G145.1,Green bee eater,5.10m,1,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
106,106,G145.1,Green bee eater,50.100m,1,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
107,107,G145.1,Barn swallow,25.50m,2,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
108,108,G145.1,Laughing dove,25.50m,1,19,18.17633498,74.93903898,525.53833,G145,25-12-22,16:27,evening,"MJ, HP",grass
109,109,G145.2,Indian robin,25.50m,1,20,18.17354598,74.93940904,519.98877,G145,25-12-22,16:53,evening,"MJ, HP",grass
110,110,G145.2,Black winged stilt,50.100m,2,20,18.17354598,74.93940904,519.98877,G145,25-12-22,16:53,evening,"MJ, HP",grass
111,111,G145.2,Siberian stonechat,50.100m,1,20,18.17354598,74.93940904,519.98877,G145,25-12-22,16:53,evening,"MJ, HP",grass
112,112,G145.2,Red wattled lapwing,50.100m,2,20,18.17354598,74.93940904,519.98877,G145,25-12-22,16:53,evening,"MJ, HP",grass
113,113,G145.2,Black drongo,100.200m,1,20,18.17354598,74.93940904,519.98877,G145,25-12-22,16:53,evening,"MJ, HP",grass
114,114,G145.3,Black drongo,50.100m,1,21,18.17177304,74.94181397,524.338867,G145,25-12-22,17:17,evening,"MJ, HP",grass
115,115,G145.3,Laughing dove,100.200m,1,21,18.17177304,74.94181397,524.338867,G145,25-12-22,17:17,evening,"MJ, HP",grass
116,116,G145.4,Black drongo,50.100m,1,22,18.17120098,74.94462904,536.516357,G145,25-12-22,17:35,evening,"MJ, HP",grass
117,117,G145.4,Black drongo,100.200m,1,22,18.17120098,74.94462904,536.516357,G145,25-12-22,17:35,evening,"MJ, HP",grass
118,910,G54.1,Red vented bulbul,10.25m,2,139,18.41073004,74.32918,620.733887,G54,20-12-22,15:39,evening,"KK, SM",grass
119,911,G54.1,Green bee eater,10.25m,1,139,18.41073004,74.32918,620.733887,G54,20-12-22,15:39,evening,"KK, SM",grass
120,912,G54.1,Green bee eater,100.200m,1,139,18.41073004,74.32918,620.733887,G54,20-12-22,15:39,evening,"KK, SM",grass
121,913,G54.1,Black drongo,100.200m,1,139,18.41073004,74.32918,620.733887,G54,20-12-22,15:39,evening,"KK, SM",grass
122,914,G54.1,Indian silverbill,100.200m,3,139,18.41073004,74.32918,620.733887,G54,20-12-22,15:39,evening,"KK, SM",grass
123,915,G54.1,Ashy prinia,50.100m,1,139,18.41073004,74.32918,620.733887,G54,20-12-22,15:39,evening,"KK, SM",grass
124,916,G54.2,Black winged stilt,100.200m,5,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
125,917,G54.2,Common kingfisher,100.200m,1,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
126,918,G54.2,Red wattled lapwing,100.200m,2,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
127,919,G54.2,Little grebe,100.200m,2,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
128,920,G54.2,Cattle egret,50.100m,3,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
129,921,G54.2,Cattle egret,100.200m,1,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
130,922,G54.2,Black drongo,25.50m,1,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
131,923,G54.2,Whitethroat,10.25m,1,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
132,924,G54.2,Sandpiper,100.200m,2,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
133,925,G54.2,Little ringed plover,100.200m,5,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
134,926,G54.2,Pond heron,100.200m,1,140,18.41226602,74.33183002,631.762451,G54,20-12-22,16:20,evening,"KK, SM",grass
135,927,G54.3,Red vented bulbul,50.100m,1,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
136,928,G54.3,Siberian stonechat,50.100m,1,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
137,929,G54.3,Long tailed shrike,50.100m,1,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
138,930,G54.3,Tawny pipit,25.50m,1,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
139,931,G54.3,Red rumped swallow,100.200m,1,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
140,932,G54.3,Purple sunbird,25.50m,1,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
141,933,G54.3,Eurasian collared dove,100.200m,2,141,18.41501403,74.332315,630.517761,G54,20-12-22,16:45,evening,"KK, SM",grass
142,934,G54.4,Red rumped swallow,100.200m,12,142,18.41763396,74.333092,647.469666,G54,20-12-22,17:06,evening,"KK, SM",grass
143,935,G54.4,Black drongo,25.50m,1,142,18.41763396,74.333092,647.469666,G54,20-12-22,17:06,evening,"KK, SM",grass
144,936,G54.4,Laughing dove,50.100m,1,142,18.41763396,74.333092,647.469666,G54,20-12-22,17:06,evening,"KK, SM",grass
145,937,G54.4,Paddyfield pipit,50.100m,1,142,18.41763396,74.333092,647.469666,G54,20-12-22,17:06,evening,"KK, SM",grass
146,938,G54.4,Indian silverbill,25.50m,20,142,18.41763396,74.333092,647.469666,G54,20-12-22,17:06,evening,"KK, SM",grass
147,939,G54.5,Common kestrel,10.25m,1,143,18.41914102,74.33452497,670.712524,G54,20-12-22,17:23,evening,"KK, SM",grass
148,940,G54.5,Green bee eater,50.100m,2,143,18.41914102,74.33452497,670.712524,G54,20-12-22,17:23,evening,"KK, SM",grass
149,941,G54.5,Bay backed shrike ,50.100m,1,143,18.41914102,74.33452497,670.712524,G54,20-12-22,17:23,evening,"KK, SM",grass
150,942,G54.6,Green bee eater,5.10m,3,144,18.41757202,74.33070702,678.557922,G54,20-12-22,17:35,evening,"KK, SM",grass
151,943,G54.6,Indian silverbill,5.10m,2,144,18.41757202,74.33070702,678.557922,G54,20-12-22,17:35,evening,"KK, SM",grass
152,977,G7.1,Ashy prinia,10.25m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
153,978,G7.1,Blyth's reed warbler,25.50m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
154,979,G7.1,Large billed crow,25.50m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
155,980,G7.1,Large billed crow,100.200m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
156,981,G7.1,Red vented bulbul,25.50m,5,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
157,982,G7.1,Long tailed shrike,25.50m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
158,983,G7.1,Little egret,200.500m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
159,984,G7.1,Laughing dove,100.200m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
160,985,G7.1,Spot breasted fantail,25.50m,1,153,18.34430102,73.98199302,798.108582,G7,20-12-22,7:26,morning,"KK, SM",cropland
161,986,G7.2,Siberian stonechat,25.50m,2,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
162,987,G7.2,Long tailed shrike,100.200m,1,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
163,988,G7.2,Large billed crow,10.25m,1,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
164,989,G7.2,Red vented bulbul,100.200m,1,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
165,990,G7.2,Pied bushchat,10.25m,1,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
166,991,G7.2,Indian silverbill,10.25m,2,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
167,992,G7.2,Golden oriole,50.100m,1,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
168,993,G7.2,Red wattled lapwing,50.100m,1,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
169,994,G7.2,Rock pigeon,100.200m,3,154,18.34808998,73.97801698,805.927734,G7,20-12-22,7:33,morning,"KK, SM",cropland
170,995,G7.3,Red wattled lapwing,10.25m,1,155,18.35241797,73.97825796,806.886841,G7,20-12-22,7:50,morning,"KK, SM",cropland
171,996,G7.3,Long tailed shrike,5.10m,1,155,18.35241797,73.97825796,806.886841,G7,20-12-22,7:50,morning,"KK, SM",cropland
172,997,G7.3,Long tailed shrike,50.100m,1,155,18.35241797,73.97825796,806.886841,G7,20-12-22,7:50,morning,"KK, SM",cropland
173,998,G7.3,Siberian stonechat,10.25m,1,155,18.35241797,73.97825796,806.886841,G7,20-12-22,7:50,morning,"KK, SM",cropland
174,999,G7.3,Siberian stonechat,25.50m,1,155,18.35241797,73.97825796,806.886841,G7,20-12-22,7:50,morning,"KK, SM",cropland
175,175,G106.1,Green bee eater,100.200m,10,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
176,176,G106.1,Eurasian collared dove,100.200m,1,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
177,177,G106.1,Indian robin,50.100m,2,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
178,178,G106.1,Bay backed shrike ,100.200m,1,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
179,179,G106.1,Indian silverbill,0.5m,2,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
180,180,G106.1,Black drongo,100.200m,1,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
181,181,G106.1,Purple sunbird,5.10m,1,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
182,182,G106.1,Red vented bulbul,100.200m,1,33,18.36840897,74.69211699,513.88623,G106,25-12-22,7:07,morning,"TB, RC",mixed
183,183,G106.2,Eurasian collared dove,50.100m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
184,184,G106.2,Pied bushchat,25.50m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
185,185,G106.2,Red vented bulbul,10.25m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
186,186,G106.2,Siberian stonechat,25.50m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
187,187,G106.2,Siberian stonechat,50.100m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
188,188,G106.2,Jungle babbler,10.25m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
189,189,G106.2,Purple sunbird,25.50m,1,34,18.36899101,74.69496097,575.394531,G106,25-12-22,7:22,morning,"TB, RC",grass
190,190,G106.3,Siberian stonechat,25.50m,1,35,18.36784001,74.69768199,573.065491,G106,25-12-22,7:40,morning,"TB, RC",grass
191,191,G106.3,Jungle babbler,25.50m,1,35,18.36784001,74.69768199,573.065491,G106,25-12-22,7:40,morning,"TB, RC",grass
192,192,G106.3,Green bee eater,25.50m,1,35,18.36784001,74.69768199,573.065491,G106,25-12-22,7:40,morning,"TB, RC",grass
193,193,G106.3,Wire tailed swallow,100.200m,100,35,18.36784001,74.69768199,573.065491,G106,25-12-22,7:40,morning,"TB, RC",grass
194,194,G106.3,Laughing dove,50.100m,1,35,18.36784001,74.69768199,573.065491,G106,25-12-22,7:40,morning,"TB, RC",grass
195,195,G106.4,Siberian stonechat,25.50m,1,36,18.36458297,74.698848,574.491821,G106,25-12-22,7:58,morning,"TB, RC",mixed
196,196,G106.4,Indian robin,50.100m,1,36,18.36458297,74.698848,574.491821,G106,25-12-22,7:58,morning,"TB, RC",mixed
197,197,G106.4,Jungle babbler,50.100m,1,36,18.36458297,74.698848,574.491821,G106,25-12-22,7:58,morning,"TB, RC",mixed
198,198,G106.4,Red vented bulbul,25.50m,2,36,18.36458297,74.698848,574.491821,G106,25-12-22,7:58,morning,"TB, RC",mixed
199,199,G106.5,Indian robin,10.25m,1,37,18.36312401,74.70183698,575.753052,G106,25-12-22,8:14,morning,"TB, RC",grass
